"Date","I","Projected","D","R","proj_diff"
2020-03-09,3,NA,NA,NA,NA
2020-03-10,4,NA,NA,NA,NA
2020-03-11,11,NA,NA,NA,NA
2020-03-12,0,NA,NA,NA,NA
2020-03-13,11,NA,NA,NA,NA
2020-03-14,14,NA,0,0,NA
2020-03-15,18,NA,0,0,NA
2020-03-16,6,NA,0,0,NA
2020-03-17,3,NA,1,0,NA
2020-03-18,3,NA,0,0,NA
2020-03-19,4,NA,0,0,NA
2020-03-20,4,NA,0,0,NA
2020-03-21,12,NA,0,0,NA
2020-03-22,10,NA,1,0,NA
2020-03-23,23,NA,0,0,NA
2020-03-24,10,NA,0,0,NA
2020-03-25,15,NA,0,1,NA
2020-03-26,3,NA,1,0,NA
2020-03-27,31,NA,1,18,NA
2020-03-28,30,NA,2,6,NA
2020-03-29,17,NA,1,0,NA
2020-03-30,17,NA,2,14,NA
2020-03-31,82,NA,1,0,NA
2020-04-01,33,NA,3,0,NA
2020-04-02,88,NA,8,3,NA
2020-04-03,64,NA,5,8,NA
2020-04-04,148,NA,6,2,NA
2020-04-05,112,NA,13,4,NA
2020-04-06,121,NA,7,14,NA
2020-04-07,150,NA,12,9,NA
2020-04-08,117,NA,8,38,NA
2020-04-09,229,NA,25,8,NA
2020-04-10,210,NA,12,63,NA
2020-04-11,187,NA,17,20,NA
2020-04-12,221,NA,22,9,NA
2020-04-13,352,NA,11,12,NA
2020-04-14,346,NA,18,30,NA
2020-04-15,236,371,9,36,135
2020-04-16,285,418,7,5,133
2020-04-17,120,469,7,31,349
2020-04-18,327,526,10,34,199
2020-04-19,552,589,12,142,37
2020-04-20,466,659,9,65,193
2020-04-21,552,736,19,150,184
2020-04-22,431,824,18,67,393
2020-04-23,778,924,14,51,146
2020-04-24,390,1035,18,117,645
2020-04-25,811,1158,22,119,347
2020-04-26,440,1295,19,112,855
2020-04-27,522,1450,27,94,928
2020-04-28,728,1627,31,106,899
2020-04-29,597,1820,32,205,1223
2020-04-30,583,2039,27,180,1456
2020-05-01,1008,2283,26,106,1275
2020-05-02,790,2557,36,121,1767
2020-05-03,678,2861,27,115,2183
2020-05-04,1567,3204,35,350,1637
2020-05-05,984,3580,34,354,2596
2020-05-06,1233,4014,34,275,2781
2020-05-07,1216,4496,43,207,3280
2020-05-08,1089,5038,37,169,3949
2020-05-09,1165,5638,48,330,4473
2020-05-10,1943,6310,53,399,4367
2020-05-11,1230,7076,36,587,5846
2020-05-12,1026,7924,53,339,6898
2020-05-13,1495,8863,54,422,7368
2020-05-14,1602,9914,44,542,8312
2020-05-15,1576,11106,49,475,9530
2020-05-16,1606,12453,67,524,10847
2020-05-17,2347,13925,63,600,11578
2020-05-18,2005,15599,51,749,13594
2020-05-19,2078,17458,76,1202,15380
2020-05-20,2161,19573,65,679,17412
2020-05-21,2345,21908,64,1408,19563
2020-05-22,2940,24556,63,857,21616
2020-05-23,2608,27484,60,821,24876
2020-05-24,3041,30789,58,1196,27748
2020-05-25,2436,34417,60,1186,31981
2020-05-26,2091,38589,97,1168,36498
2020-05-27,2190,43179,105,964,40989
2020-05-28,2598,48398,85,698,45800
2020-05-29,2682,54182,116,8381,51500
2020-05-30,2940,60688,99,1084,57748
2020-05-31,2487,67889,89,1248,65402
